"drg","dc","pcl_min","pcl_max"
08501,0850,4,9
08510,0851,0,2
08511,0851,3,4
08512,0851,5,5
08513,0851,6,9
08520,0852,0,2
08521,0852,3,9
08530,0853,0,3
08531,0853,4,5
08532,0853,6,9
08540,0854,0,3
08541,0854,4,4
08542,0854,5,9
08550,0855,0,2
08551,0855,3,4
08552,0855,5,9
08560,0856,0,5
08561,0856,6,7
08562,0856,8,9
08570,0857,0,2
08571,0857,3,4
08572,0857,5,7
08573,0857,8,9
08580,0858,0,2
08581,0858,3,5
08582,0858,6,6
08583,0858,7,9
08600,0860,0,2
08601,0860,3,4
08602,0860,5,9
08610,0861,0,1
08611,0861,2,3
08612,0861,4,4
08613,0861,5,9
08620,0862,0,2
08621,0862,3,4
08622,0862,5,9
08630,0863,0,1
08631,0863,2,2
08632,0863,3,3
08633,0863,4,9
08640,0864,0,0
08641,0864,1,1
08642,0864,2,2
08643,0864,3,9
08650,0865,0,2
08651,0865,3,4
08652,0865,5,5
08653,0865,6,9
08660,0866,0,0
08661,0866,1,3
08662,0866,4,9
08670,0867,0,1
08671,0867,2,2
08672,0867,3,9
08689,0868,0,9
08690,0869,0,3
08691,0869,4,5
08692,0869,6,9
08700,0870,0,3
08701,0870,4,5
08702,0870,6,9
08710,0871,0,2
08711,0871,3,3
08712,0871,4,9
08720,0872,0,3
08721,0872,4,4
08722,0872,5,9
08730,0873,0,1
08731,0873,2,2
08732,0873,3,3
08733,0873,4,9
09010,0901,0,3
09011,0901,4,6
09012,0901,7,9
09029,0902,0,9
09030,0903,0,0
09031,0903,1,9
09049,0904,0,9
09050,0905,0,2
09051,0905,3,3
09052,0905,4,9
09060,0906,0,1
09061,0906,2,3
09062,0906,4,4
09063,0906,5,9
09079,0907,0,9
09080,0908,0,0
09081,0908,1,9
09090,0909,0,2
09091,0909,3,5
09092,0909,6,6
09093,0909,7,9
09100,0910,0,2
09101,0910,3,3
09102,0910,4,9
09110,0911,0,3
09111,0911,4,9
09149,0914,0,9
09150,0915,0,2
09151,0915,3,3
09152,0915,4,9
09500,0950,0,2
09501,0950,3,5
09502,0950,6,6
09503,0950,7,9
09510,0951,0,3
09511,0951,4,4
09512,0951,5,9
09520,0952,0,2
09521,0952,3,9
09530,0953,0,2
09531,0953,3,5
09532,0953,6,7
09533,0953,8,9
09540,0954,0,1
09541,0954,2,4
09542,0954,5,9
09550,0955,0,1
09551,0955,2,9
09560,0956,0,2
09561,0956,3,4
09562,0956,5,6
09563,0956,7,7
09564,0956,8,9
09570,0957,0,0
09571,0957,1,2
09572,0957,3,9
09580,0958,0,2
09581,0958,3,5
09582,0958,6,6
09583,0958,7,9
09590,0959,0,1
09591,0959,2,3
09592,0959,4,9
09609,0960,0,9
09610,0961,0,3
09611,0961,4,4
09612,0961,5,9
09620,0962,0,8
09621,0962,9,9
09630,0963,0,1
09631,0963,2,9
09640,0964,0,2
09641,0964,3,9
09650,0965,0,0
09651,0965,1,2
09652,0965,3,9
09660,0966,0,2
09661,0966,3,9
09679,0967,0,9
10010,1001,0,2
10011,1001,3,9
10020,1002,0,2
10021,1002,3,9
10039,1003,0,9
10049,1004,0,9
10059,1005,0,9
10070,1007,0,2
10071,1007,3,9
10080,1008,0,2
10081,1008,3,4
10082,1008,5,9
10090,1009,0,0
10091,1009,1,9
10109,1010,0,9
10139,1013,0,9
10500,1050,0,2
10501,1050,3,4
10502,1050,5,6
10503,1050,7,7
10504,1050,8,9
10519,1051,0,9
10529,1052,0,9
10530,1053,0,2
10531,1053,3,4
10532,1053,5,6
