"CODE,C,6","ORP,C,1","ORPTYPE,C,1","SEX,C,1","SITE,C,1","PROCGR,N,1,0","PROCLEV,N,2,0","PCPART,N,1,0","EXTLEV,N,1,0","EXTTYPE,C,1","MMDC,C,2","OMDCS,C,20","MOSPROC,N,1,0","MOSDC,C,4","MOSHIERAR,C,2","JSSITE,C,1","DESC,C,26","DRGUSE,L","MAYUN,L"
0121,Y,E,B,A,4,49,0,2,>,01,,0,,,,Cranial sinus I&D,จริง,
0122,Y,E,B,-,5,50,0,0,,01,,0,,,,Removal brain stim lead,จริง,
0123,Y,E,B,A,5,57,0,2,>,01,,0,,,,Reopen craniotomy site,จริง,
0124,Y,E,B,A,5,50,0,2,>,01,,0,,,,Other craniotomy,จริง,
0125,Y,E,B,A,4,49,0,2,>,01,,0,,,,Other craniectomy,จริง,
0126,N,,B,-,0,0,0,0,,--,,0,,,,Ins cath cranial cav/tis,เท็จ,
0127,N,,B,-,0,0,0,0,,--,,0,,,,Rem cath cranial cav/tis,เท็จ,
0128,Y,,B,A,4,40,0,0,,01,,0,,,,Intracereb cth-burr hole,จริง,
0129,Y,E,B,-,5,50,0,0,,01,,,,,,Rem cran n'sti pulse gen,จริง,
0131,Y,E,B,A,5,50,0,2,>,01,"17,21",0,,,,Incise cerebral meninges,จริง,
0132,Y,E,B,-,5,62,0,2,>,01,,0,,,,Lobotomy & tractotomy,จริง,
0139,Y,E,B,A,5,55,0,2,>,01,"17,21",0,,,,Other brain incision,จริง,
0141,Y,E,B,-,5,54,0,2,>,01,,0,,,,Thalamus operations,จริง,
0142,Y,E,B,-,5,54,0,2,>,01,,0,,,,Globus pallidus ops,จริง,
0151,Y,E,B,-,5,54,0,2,>,01,17,0,,,,Ex cereb meningeal les,จริง,
0152,Y,E,B,A,6,69,0,0,,01,,0,,,,Hemispherectomy,จริง,
0153,Y,E,B,A,5,59,0,2,>,01,17,0,,,,Brain lobectomy,จริง,
0159,Y,E,B,A,5,58,0,2,>,01,"17,21",0,,,,Other brain excision,จริง,
016,Y,E,B,A,4,41,0,2,>,01,"08,17",0,,,,Excise skull lesion,จริง,
0201,Y,E,B,-,4,43,0,2,>,01,08,0,,,,Linear craniectomy,จริง,
0202,Y,E,B,A,4,44,0,2,>,01,,0,,,,Elevate skull fx fragmnt,จริง,
0203,Y,E,B,A,4,45,0,0,,01,"08,09",0,,,,Skull flap formation,จริง,
0204,Y,E,B,A,4,44,0,0,,01,"08,09",0,,,,Bone graft to skull,จริง,
0205,Y,E,B,A,4,42,0,0,,01,"08,09",0,,,,Skull plate insertion,จริง,
0206,Y,E,B,A,4,44,0,0,,01,"08,09,21",0,,,,Cranial osteoplasty NEC,จริง,
0207,Y,E,B,A,4,42,0,0,,01,"08,21",0,,,,Skull plate removal,จริง,
0211,Y,E,B,A,5,54,0,2,>,01,21,0,,,,Simple suture of dura,จริง,
0212,Y,E,B,A,5,51,0,2,>,01,,0,,,,Brain meninge repair NEC,จริง,
0213,Y,E,B,A,5,50,0,0,,01,,0,,,,Meninge vessel ligation,จริง,
0214,Y,E,B,-,5,55,0,2,>,01,,0,,,,Choroid plexectomy,จริง,
022,Y,E,B,A,4,49,0,2,>,01,"17,21",0,,,,Ventriculostomy,จริง,
